KPI,Category,Sept_coef,Sept_rank,Oct_coef,Oct_rank,Nov_coef,Nov_rank,Dec_coef,Dec_rank,Sum_rank,Average_rank,Overall_rank
tutela_good_coverage,mv_all_benchmark,0.018800928,4,0.129220784,1,0.061234886,3,0.049852981,5,13,3.25,1
ccis_data_service_complaint,mv_all_serviceexperience,0.004124334,22,0.079289788,4,0.11271923,1,0.143122046,1,28,7,2
stream_qoe,mv_all_serviceexperience,0.0109617,9,0.057933222,6,0.037316457,11,0.067317997,4,30,7.5,3
onx_avg_stalling_time_overall,mv_all_benchmark,0.036653376,3,0.115009725,2,0.049223601,6,0.008443805,24,35,8.75,4
onx_download_speed_overall,mv_all_benchmark,0.292136235,2,0.052130527,7,0.059495005,5,0.008595883,22,36,9,5
tutela_video_score_netflix,mv_all_benchmark,0.012664243,7,0.025207078,14,0.044869662,7,0.026891476,16,44,11,6
tutela_game_parameter,mv_all_benchmark,0.014292557,5,0.078783771,5,0.014853365,26,0.042304443,9,45,11.25,7
tutela_jitter,mv_all_benchmark,0.007680134,14,0.047187644,9,0.042135628,8,0.034824152,15,46,11.5,8
games_qoe,mv_all_serviceexperience,0.009050039,11,0.086193094,3,0.059955789,4,0.000743477,31,49,12.25,9
onx_udp_jitter_overall,mv_all_benchmark,0.002571991,30,0.036819472,10,0.037813414,9,0.042487976,8,57,14.25,10
tutela_upload_throughput,mv_all_benchmark,0.005136422,19,0.029181049,11,0.023799592,17,0.037807594,11,58,14.5,11
volte_accessibility_sr,mv_all_networkperformance,0.005490007,18,0.008699834,23,0.02548792,16,0.094846148,2,59,14.75,12
nr_prb_utilization_dl_rate_relactuserdl,mv_all_capacity,0.003129203,26,0.047968365,8,0.018789625,23,0.079648956,3,60,15,13
dl_resource_block_utilization_rate_relactuserdl_num,mv_all_capacity,0.003783552,23,0.023468807,15,0.026699259,15,0.044392692,7,60,15,14
onx_upload_speed_overall,mv_all_benchmark,0.004908278,20,0.011598728,20,0.037606371,10,0.014733037,20,70,17.5,15
tutela_download_throughput,mv_all_benchmark,0.007805181,13,0.007934296,25,0.016633973,24,0.042078646,10,72,18,16
nr_prb_utilization_ul_rate_relactuserdl,mv_all_capacity,0.010657423,10,0.029081903,12,0.008043397,27,0.002036532,29,78,19.5,17
ul_resource_block_utilization_rate_relactuserdl_num,mv_all_capacity,0.007039354,15,0.001476612,30,0.015364548,25,0.037031465,13,83,20.75,18
