location_id,location,latitude,longitude
1107,ACEH BARAT,4.45,96.16667
1112,ACEH BARAT DAYA,3.83333,96.88333
1108,ACEH BESAR,5.38333,95.51667
1116,ACEH JAYA,4.86,95.64
1103,ACEH SELATAN,3.16667,97.41667
1102,ACEH SINGKIL,2.41667,97.91667
1114,ACEH TAMIANG,4.25,97.96667
1106,ACEH TENGAH,4.51,96.855
1104,ACEH TENGGARA,3.36667,97.7
1105,ACEH TIMUR,4.63333,97.63333
1111,ACEH UTARA,4.97,97.14
3101,ADMINISTRASI KEPULAUAN SERIBU,-5.5985,106.55271
1307,AGAM,-0.25,100.16667
5307,ALOR,-8.3,124.56667
1208,ASAHAN,2.78333,99.55
9415,ASMAT,-5.3795,138.46344
5103,BADUNG,-8.51667,115.2
6311,BALANGAN,-2.32314,115.62922
3204,BANDUNG,-7.1,107.6
3217,BANDUNG BARAT,-6.83333,107.48333
7202,BANGGAI,-1.2835,122.8892
7201,BANGGAI KEPULAUAN,-1.6424,123.54881
7211,BANGGAI LAUT,-1.61841,123.49388
1901,BANGKA,-1.91667,105.93333
1903,BANGKA BARAT,-1.95839,105.53741
1905,BANGKA SELATAN,-2.66803,106.01257
1904,BANGKA TENGAH,-2.33989,106.1142
3526,BANGKALAN,-7.05,112.93333
5106,BANGLI,-8.28333,115.35
6303,BANJAR,-3.31667,115.08333
3304,BANJARNEGARA,-7.35111,109.5875
7303,BANTAENG,-5.48333,119.98333
3402,BANTUL,-7.9,110.36667
1607,BANYU ASIN,-2.88333,104.38306
3302,BANYUMAS,-7.45,109.16667
3510,BANYUWANGI,-8.33333,114.2
6304,BARITO KUALA,-3.08333,114.61667
6204,BARITO SELATAN,-1.86667,114.73333
6212,BARITO TIMUR,-1.93333,115.1
6205,BARITO UTARA,-0.98333,115.1
7310,BARRU,-4.43333,119.68333
3325,BATANG,-7.03333,109.88333
1504,BATANG HARI,-1.75,103.11667
1219,BATU BARA,3.16166,99.52652
3216,BEKASI,-6.24667,107.10833
1902,BELITUNG,-2.86667,107.7
1906,BELITUNG TIMUR,-2.9627,108.15216
5306,BELU,-9.41258,124.95066
1117,BENER MERIAH,4.73015,96.86156
1408,BENGKALIS,0.9838,102.5096
6102,BENGKAYANG,1.06911,109.66393
1701,BENGKULU SELATAN,-4.35,103.03333
1709,BENGKULU TENGAH,-3.20679,102.12616
1703,BENGKULU UTARA,-3.33333,102.05
6405,BERAU,2,117.3
9409,BIAK NUMFOR,-1.03333,136
5206,BIMA,-8.6,118.61667
2102,BINTAN,0.95,104.61944
1110,BIREUEN,5.08333,96.58333
3505,BLITAR,-8.13333,112.25
3316,BLORA,-7.06667,111.38333
7501,BOALEMO,0.62689,122.3568
3201,BOGOR,-6.58333,106.71667
3522,BOJONEGORO,-7.25,111.8
7101,BOLAANG MONGONDOW,0.75,124.08333
7110,BOLAANG MONGONDOW SELATAN,0.40912,123.75961
7111,BOLAANG MONGONDOW TIMUR,0.72073,124.50256
7107,BOLAANG MONGONDOW UTARA,0.78527,123.41766
7406,BOMBANA,-4.6257,121.81641
3511,BONDOWOSO,-7.9404,113.9834
7311,BONE,-4.7,120.13333
7504,BONE BOLANGO,0.50296,123.27501
9413,BOVEN DIGOEL,-5.70519,140.36349
3309,BOYOLALI,-7.5,110.7
3329,BREBES,-7.05,108.9
5108,BULELENG,-8.25,114.96667
7302,BULUKUMBA,-5.41667,120.23333
6502,BULUNGAN,3,117.16667
1509,BUNGO,-1.50222,101.96
7207,BUOL,0.75,120.75
8104,BURU,-3.32767,126.68413
8109,BURU SELATAN,-3.52187,126.59271
7401,BUTON,-5.31667,122.58333
7415,BUTON SELATAN,-5.56667,122.7
7414,BUTON TENGAH,-5.31667,122.33333
7409,BUTON UTARA,-5.01457,122.93015
3207,CIAMIS,-7.28333,108.41667
3203,CIANJUR,-6.7725,107.08306
3301,CILACAP,-7.57417,108.98861
3209,CIREBON,-6.8,108.56667
1210,DAIRI,2.86667,98.23333
9436,DEIYAI,-3.94737,135.95032
1212,DELI SERDANG,3.41667,98.66667
3321,DEMAK,-6.8993,110.6122
1311,DHARMASRAYA,-1.05,101.367
9434,DOGIYAI,-4.03186,135.43945
5205,DOMPU,-8.5094,118.4816
7205,DONGGALA,-0.58333,119.85
1611,EMPAT LAWANG,3.22667,99.09256
5311,ENDE,-8.84056,121.66389
7316,ENREKANG,-3.5,119.86667
9101,FAK FAK,-2.92641,132.29608
5309,FLORES TIMUR,-8.24224,122.96817
3205,GARUT,-7.38333,107.76667
1113,GAYO LUES,3.95,97.39
5104,GIANYAR,-8.46667,115.28333
7502,GORONTALO,0.5728,122.2337
7505,GORONTALO UTARA,0.77,122.31667
7306,GOWA,-5.31667,119.75
3525,GRESIK,-7.1933,112.553
3315,GROBOGAN,-7.11667,110.91667
6211,GUNUNG MAS,-0.95,113.5
3403,GUNUNGKIDUL,-7.98333,110.61667
8201,HALMAHERA BARAT,1.41709,127.55264
8204,HALMAHERA SELATAN,-0.3955,127.90833
8202,HALMAHERA TENGAH,0.48056,128.25
8206,HALMAHERA TIMUR,1.33517,128.48627
8205,HALMAHERA UTARA,1.73194,128.00778
6306,HULU SUNGAI SELATAN,-2.75,115.2
6307,HULU SUNGAI TENGAH,-2.61667,115.41667
6308,HULU SUNGAI UTARA,-2.45,115.13333
1215,HUMBANG HASUNDUTAN,2.26551,98.50376
1403,INDRAGIRI HILIR,-0.33333,103.16667
1402,INDRAGIRI HULU,-0.55,102.31667
3212,INDRAMAYU,-6.45,108.16667
9435,INTAN JAYA,-3.41016,136.70837
9403,JAYAPURA,-3,139.95
9402,JAYAWIJAYA,-4.08333,139.08333
3509,JEMBER,-8.25,113.65
5101,JEMBRANA,-8.3,114.66667
7304,JENEPONTO,-5.63333,119.73333
3320,JEPARA,-6.58333,110.76667
3517,JOMBANG,-7.55,112.25
9102,KAIMANA,-3.66093,133.77451
1406,KAMPAR,0.2344,101.2131
6203,KAPUAS,-2.01667,114.38333
6108,KAPUAS HULU,0.81667,112.76667
3313,KARANGANYAR,-7.62806,111.0625
5107,KARANGASEM,-8.3891,115.5393
3215,KARAWANG,-6.26667,107.41667
2101,KARIMUN,0.80764,103.41911
1211,KARO,3.11667,98.3
6209,KATINGAN,-2.06667,113.4
1704,KAUR,-4.78179,103.36109
6111,KAYONG UTARA,-1.43711,110.79781
3305,KEBUMEN,-7.63917,109.66056
3506,KEDIRI,-7.83333,112.16667
9420,KEEROM,-3.3,140.61667
3324,KENDAL,-7.0256,110.1685
1708,KEPAHIANG,-3.60194,102.56424
2105,KEPULAUAN ANAMBAS,3,106
8105,KEPULAUAN ARU,-6.17059,134.46991
1301,KEPULAUAN MENTAWAI,1.98917,99.51889
1410,KEPULAUAN MERANTI,0.97488,102.69539
7103,KEPULAUAN SANGIHE,3.5,125.55
7301,KEPULAUAN SELAYAR,-6.81667,120.8
7108,KEPULAUAN SIAU TAGULANDANG BIARO,2.11728,125.37512
8203,KEPULAUAN SULA,-1.8646,125.69046
7104,KEPULAUAN TALAUD,4.31178,126.78085
9408,KEPULAUAN YAPEN,-1.78773,136.27716
1501,KERINCI,-2.03333,101.53333
6106,KETAPANG,-1.58333,110.5
3310,KLATEN,-7.68333,110.61667
