,location_id,month,location,enodeb_share,onx_avg_initialbufferinterval_overall,cei_score,call_setup_success_rate,ccsr_voice_rate
10,1101,11,SIMEULUE,98.0240150716157,4576.232056369556,39.83979769061896,99.34504374837962,99.1620881088351
11,1101,12,SIMEULUE,99.61576354679804,3213.279761904762,38.5659800262931,99.40800730286082,98.98381444790076
22,1102,11,ACEH SINGKIL,67.28232881096659,3610.841829004329,48.313122387461405,99.44644618481932,98.96190081162246
23,1102,12,ACEH SINGKIL,74.41079643225474,4018.450793650794,46.2059823206198,98.46678150430787,98.64591484672349
34,1103,11,ACEH SELATAN,88.23445322684233,4524.373431867697,44.20035177109212,99.4774447217546,99.41936086489224
35,1103,12,ACEH SELATAN,91.85051368708912,3896.3763100788096,42.97781519538683,99.45773407178328,99.35766845361736
46,1104,11,ACEH TENGGARA,88.83091111116474,5757.839059829059,37.138077354953005,98.10634037667415,99.04435566652415
47,1104,12,ACEH TENGGARA,92.75116126114764,5834.591378577848,33.141185806235086,99.14029189362594,99.05941768520243
58,1105,11,ACEH TIMUR,80.28670350329276,5038.362849727055,45.12088943081996,99.43207859557027,99.21466090884827
59,1105,12,ACEH TIMUR,82.8637640035877,4962.4923232248775,43.292616922872746,99.35368314759248,99.10506262843865
70,1106,11,ACEH TENGAH,92.30663867558552,4760.89688997839,55.0113705362742,99.22301129820262,99.12555699182096
71,1106,12,ACEH TENGAH,94.3337053102401,4834.068358079286,52.76041442309517,97.87747135613138,99.02778329201044
82,1107,11,ACEH BARAT,76.80179900486783,4104.057159676781,53.36898205871777,99.42291889690355,98.98228180740152
83,1107,12,ACEH BARAT,82.14515754129792,3989.807192807193,49.52622559647265,99.55010335900032,99.10410434007592
94,1108,11,ACEH BESAR,69.92453773434937,3562.613108788874,60.78576046368368,99.4196398366973,99.22726471892813
95,1108,12,ACEH BESAR,74.41101934809889,3705.413007963644,59.74867022841656,99.4860996621591,99.27440596953684
106,1109,11,PIDIE,70.36088770137707,4036.968441689447,57.98063812159237,99.59576604994592,99.15326702636769
107,1109,12,PIDIE,74.50130742761344,4015.5328132716654,56.74713591931548,99.6260876479525,99.17190217916465
118,1110,11,BIREUEN,75.19296554429901,4221.5908440348885,55.3603168371607,99.39364295215998,99.26526418214569
119,1110,12,BIREUEN,77.80782782359427,3758.5156122880394,54.310937266085766,99.51732541010614,99.27242193332944
130,1111,11,ACEH UTARA,77.87144878390208,4247.070658776895,55.30031222557959,99.38987023199088,99.11364924080388
131,1111,12,ACEH UTARA,75.28180142446583,4169.961313887542,54.1450067674481,99.40744847259172,99.07924952940137
142,1112,11,ACEH BARAT DAYA,84.19156635562223,4999.966993746994,51.71892474376983,99.53617579995743,99.4971786057087
143,1112,12,ACEH BARAT DAYA,82.50779995950735,3925.1615079365088,50.93604811753374,99.47806347068996,99.4634394541931
154,1113,11,GAYO LUES,100.0,5332.142355699855,42.27423826074563,99.2264449616192,99.00615038394228
155,1113,12,GAYO LUES,100.0,4782.515419672921,38.37228901818367,99.10633461348088,99.00610129178236
166,1114,11,ACEH TAMIANG,66.02905771744346,4373.744699630723,46.880106317510965,99.55096966407322,98.94646921152923
167,1114,12,ACEH TAMIANG,72.96435464712093,4427.1724184312425,44.860270632014426,99.61229015502198,98.94427338068044
178,1115,11,NAGAN RAYA,90.29475886426638,5269.766267436269,58.47849929778063,99.2071001260513,98.79877861438952
179,1115,12,NAGAN RAYA,82.835093815397,4767.075515873016,56.51074811269482,99.33924698684564,99.01916799052078
190,1116,11,ACEH JAYA,95.40418377918378,4771.00633838384,55.14855506758714,99.43619999754452,99.0565795854687
191,1116,12,ACEH JAYA,97.05803155600316,4073.604246031746,54.38444462268183,99.4553865702092,99.20420399566066
202,1117,11,BENER MERIAH,88.11084796716709,4765.146212700698,54.79717766758511,98.98068279374176,99.06979764737216
203,1117,12,BENER MERIAH,88.98282450089715,4513.526749160855,51.71432321113732,96.86207106738492,99.00080729828372
214,1118,11,PIDIE JAYA,77.2702394066418,4511.977442073176,59.06693305299181,99.51331659205138,99.31648072815688
215,1118,12,PIDIE JAYA,78.16437223248126,4242.1359006734,58.04188650228739,99.61116342060538,99.37728556482132
226,1171,11,KOTA BANDA ACEH,75.70904501109159,3692.9295151968886,62.825942865888834,99.47313857836588,99.42083501528836
227,1171,12,KOTA BANDA ACEH,81.39707457951079,3610.23300976283,63.18184946659675,99.61661769441156,99.36096603157714
238,1172,11,KOTA SABANG,79.04789752158172,2775.2820153061225,54.29392683470262,99.5044548678896,99.18741403946768
239,1172,12,KOTA SABANG,81.20273883204919,3431.4088888888887,52.18183049583463,99.53040400033566,99.04685192791204
250,1173,11,KOTA LANGSA,72.83586295423862,3468.894899456571,54.79020434457202,99.76360334849132,99.38425950679944
251,1173,12,KOTA LANGSA,72.11727433231884,3681.862949363588,52.359965551831785,99.57712137941256,99.37487809280896
262,1174,11,KOTA LHOKSEUMAWE,77.26248600712181,3848.0971407896304,57.50812726242234,99.58375072695844,99.42678019229656
263,1174,12,KOTA LHOKSEUMAWE,80.51880742334339,3616.734464872572,57.19366065621967,99.67997977685624,99.43636205906375
274,1175,11,KOTA SUBULUSSALAM,71.77183485924812,3716.352551020409,45.1565975166641,99.240973879282,98.92816056931149
275,1175,12,KOTA SUBULUSSALAM,75.56525371180545,4811.463747165532,43.7511990673686,99.11485245405522,99.00762317473487
286,1201,11,NIAS,93.8888888888889,5640.89236111111,45.48720930741688,98.74791196140478,98.34238585496796
287,1201,12,NIAS,79.3103448275862,5978.48,43.75500195509601,98.37001348512408,98.41455954468547
298,1202,11,MANDAILING NATAL,71.74756331820105,5446.842798688241,50.17404178996697,99.00127682459812,98.77872117972966
299,1202,12,MANDAILING NATAL,74.75441820732493,5779.9361548364495,40.34258821049181,98.70814923136672,98.521566255604
310,1203,11,TAPANULI SELATAN,74.10728299770409,4460.328736772487,47.73190122015841,98.98461542282703,98.88666568617312
311,1203,12,TAPANULI SELATAN,76.40377591576535,4987.399822214822,47.10150718881568,99.11496932890124,98.91064393854006
322,1204,11,TAPANULI TENGAH,80.34071334052922,3757.2578981748097,45.628685519660976,99.28101058249936,99.35505457826936
323,1204,12,TAPANULI TENGAH,77.8553905761993,4326.43957912458,40.42370407729347,99.42031921571136,99.26648000895884
334,1205,11,TAPANULI UTARA,85.15161060580172,5122.689642857144,42.12826483375576,98.93504695738002,99.08725704078782
335,1205,12,TAPANULI UTARA,79.53235891711296,4963.557148869649,37.7397200805246,98.9833008863595,99.0706464230811
346,1206,11,TOBA SAMOSIR,77.14211276551428,4538.337848932677,47.14922924742317,99.3163199750422,99.1159570278528
347,1206,12,TOBA SAMOSIR,81.66541538245392,4340.894358610738,38.16528349326176,98.2333170848383,99.01346440154676
358,1207,11,LABUHAN BATU,68.93110316421152,4398.616594236845,52.23243785733726,99.18174524277003,99.01544901326272
359,1207,12,LABUHAN BATU,78.22491805061888,4103.028001464246,48.935221699511054,99.2978028570084,99.06253721101876
370,1208,11,ASAHAN,65.4849264502462,4081.4626623362296,50.776260564530745,99.17380772429593,99.23644970770869
371,1208,12,ASAHAN,67.0440894958865,4116.214055677684,44.89124935540138,99.39000923312004,99.28591381267525
382,1209,11,SIMALUNGUN,58.02852540164376,3919.660074599948,52.85240161280504,99.20207124298145,99.07545148150533
383,1209,12,SIMALUNGUN,57.72654406455249,4662.927667130227,45.72222562118471,99.47908997934708,99.0889959253241
394,1210,11,DAIRI,60.09193611399494,5104.17123948848,44.36228144954455,99.2662727631854,98.8927206167864
395,1210,12,DAIRI,58.35104803918191,4976.446216931216,40.26223720452524,99.02519577834508,98.79009870113448
406,1211,11,KARO,64.47265714500142,4011.5544198448615,45.29878762838277,99.45014387987572,99.20332328492348
407,1211,12,KARO,64.85684167873762,4245.405526652856,40.9641624004543,99.06206234538236,99.18321068508256
418,1212,11,DELI SERDANG,50.85616724833676,3820.718602008282,53.55910663162216,98.82849009785008,99.78173657754904
419,1212,12,DELI SERDANG,53.23802925305013,4046.3993513248743,49.13677493089509,98.67574567226904,99.77500201787784
430,1213,11,LANGKAT,62.06399807755134,3966.556025007069,48.61459516123982,99.33520958077884,99.71571605568585
431,1213,12,LANGKAT,62.32976089722031,4076.7029021606777,46.36160264124424,99.34786701131378,99.69715413196944
442,1214,11,NIAS SELATAN,100.0,4959.447126436782,46.15986711705354,98.66698572288644,98.59897680692764
443,1214,12,NIAS SELATAN,85.34482758620689,5667.110606060607,42.63903450425551,97.90898432086732,98.54341653413285
454,1215,11,HUMBANG HASUNDUTAN,78.00108225108224,4742.067283950617,41.35290162267246,99.26796669438748,99.13215811456342
455,1215,12,HUMBANG HASUNDUTAN,68.05502926192582,4970.175,35.62393299450506,98.54366779836432,98.8888916703608
466,1216,11,PAKPAK BHARAT,82.27777777777777,7603.433333333332,41.06618080110861,99.41981630504723,98.95135172805996
467,1216,12,PAKPAK BHARAT,76.14942528735631,4135.467948717949,37.26021651470276,99.16740226095192,98.95701852405254
478,1217,11,SAMOSIR,81.0714285714286,5239.610952380952,42.078082590928666,99.4014436615632,99.11420997240184
479,1217,12,SAMOSIR,80.68050892087403,4836.727804232804,36.7717713965088,99.25185871596476,99.10035033572598
490,1218,11,SERDANG BEDAGAI,51.48127097825823,4284.738240049425,50.71903724779359,93.77146856104903,99.7183270007949
491,1218,12,SERDANG BEDAGAI,51.72344646765832,4377.8306015441385,43.51447715567633,99.32742795976716,99.73161637794004
502,1219,11,BATU BARA,63.63191239871444,4771.062603736421,50.73102822503117,99.49852276389603,99.03169778307446
503,1219,12,BATU BARA,63.98581798966723,4546.945508473868,47.60114504897762,99.4449899771547,99.08298184332637
514,1220,11,PADANG LAWAS UTARA,82.17350704850705,5216.011424590734,44.35130361612276,99.10165099751843,98.25237072830238
515,1220,12,PADANG LAWAS UTARA,83.29899931746837,6457.319484126984,40.950497431381486,98.9253940502288,98.61845938224369
526,1221,11,PADANG LAWAS,75.18246096497927,4578.06535421278,55.081846421309415,99.1043838734016,98.53420756186868
527,1221,12,PADANG LAWAS,77.97164311160473,4499.602322029822,51.470022881755,99.21465200652466,99.13907936011616
538,1222,11,LABUHAN BATU SELATAN,80.10693193921242,5504.587731533174,40.9868759326071,99.3346183747164,98.71893886154162
