kpi,category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Overall
tutela_packetloss,Benchmark,0.321396885,0.322186804,0.325261984,0.3237196,0.332090256,0.351372293,0.348702142,0.343579582,0.326819443,0.323480071,0.3287221,0.369267346,0.334716542
tutela_video_score_netflix,Benchmark,87.71051001,87.2623148,86.95114003,86.77764002,87.25890961,87.72540248,87.88182378,87.97403085,88.05810353,87.97753856,87.83438591,87.68111508,87.59107622
onx_udp_packetloss_overall,Benchmark,4.421323145,4.448603346,4.519781971,4.559409614,4.543800023,4.310508039,4.260330067,4.199730393,4.140838292,4.297513507,4.522364669,4.577386115,4.400132432
onx_upload_speed_overall,Benchmark,11237.69181,11099.68911,10991.04838,10869.30803,10729.16422,10741.94127,10847.62919,10955.74624,11049.56089,11081.1959,11048.82826,11001.25589,10971.08827
tutela_jitter,Benchmark,4.507052449,4.484941528,4.521152862,4.581260903,4.627321456,4.618104663,4.621249086,4.6273068,4.625770478,4.636218909,4.665778084,4.7174474,4.602800385
onx_avg_stalling_time_overall,Benchmark,265.1154615,270.5906164,274.5004119,273.534718,278.1054139,278.8818248,275.1983801,261.7175953,244.267549,236.8022531,229.9924527,230.8061058,259.9593985
tutela_good_coverage,Benchmark,45.81970541,45.7114477,45.56332404,45.8343157,46.81156731,47.02219875,47.63845592,47.86331598,47.97260243,48.2148573,48.4359946,48.2784219,47.09718392
onx_ecq,Benchmark,58.69333146,59.26980434,59.57669382,59.65495511,59.30502526,59.89103817,60.82001597,61.32372574,61.76710161,62.23537576,62.75400192,63.3217742,60.71773695
onx_sum_stalling_occurance_overall,Benchmark,11111.52331,11270.15258,11263.29927,11128.90768,11128.90768,11128.90768,11128.90768,11128.90768,11128.90768,11128.90768,11128.90768,11128.90768,11150.42869
tutela_game_parameter,Benchmark,92.15164808,92.39094893,92.40276659,92.34281216,92.18820151,92.09133949,92.26237575,92.33858627,92.45533871,92.5339657,92.52175118,91.78081289,92.28837894
onx_download_speed_overall,Benchmark,28439.33415,28303.64551,28148.63127,28055.21779,28051.15553,28164.28056,28567.08753,28878.66145,29253.78331,29439.98742,29575.69599,29682.7072,28713.34898
enodeb_share,Benchmark,43.81643051,43.90572972,43.85518781,43.87919416,44.52447396,45.01347431,45.29999773,45.32912527,45.28640812,45.37642027,45.32992387,44.74192065,44.69652386
onx_udp_latency_overall,Benchmark,79.86344348,79.10480654,78.9423624,77.53907308,74.37276242,73.48932906,71.11723829,70.08024565,69.29505994,69.21534772,68.82183484,67.65967417,73.2917648
tutela_latency,Benchmark,27.28329645,27.13607121,27.21737726,27.34795912,27.80403357,27.62361981,27.39353533,27.28326322,27.20257815,27.15531287,27.11224631,27.49833799,27.33813594
onx_codingsegmentsdurationpercentagehd_overall,Benchmark,87.38482498,87.10416658,86.68677311,86.44991193,86.18071446,86.43110355,86.71174024,87.042576,87.642884,88.23292273,88.68018693,88.81079862,87.27988359
tutela_video_score_all,Benchmark,79.10637541,80.03856916,80.83728393,81.21698738,81.69815891,82.35882956,84.8756372,86.983668,88.186221,88.80418449,89.00225163,88.90574503,84.33449264
tutela_upload_throughput,Benchmark,12389.91429,12346.11492,12300.40488,12250.12521,12259.08753,12394.84981,12530.34085,12610.28773,12645.15859,12617.04904,12541.14147,12562.40601,12453.90669
tutela_excellent_quality,Benchmark,82.41821687,82.64707934,82.74441582,82.67300604,82.19834636,82.38126633,82.60369583,82.79945334,83.19786236,83.46000259,83.46335546,82.99747284,82.7986811
sample_qualitymatch,Benchmark,192854.3074,197646.0252,198675.9793,202604.0459,213435.8578,213266.9357,219466.5161,224934.3112,228775.6024,230105.1569,229477.6991,231760.9528,215250.2825
tutela_download_throughput,Benchmark,20490.04071,20592.90247,20642.2487,20532.19195,20474.37112,20638.04793,20838.92312,20947.62535,21160.00729,21361.77409,21397.99122,21365.34316,20870.12226
tutela_good_quality,Benchmark,96.22984374,96.2814973,96.29989889,96.31689023,96.16372126,96.17062286,96.24005839,96.31758202,96.43038479,96.452905,96.40138604,96.1993148,96.29200878
onx_udp_jitter_overall,Benchmark,9.619992874,9.603423023,9.753830106,9.700618442,9.56049114,9.601984809,9.77005997,9.861379141,9.924488215,9.872333309,9.788795349,9.766460407,9.735321399
onx_avg_video_throughput_overall,Benchmark,15.29035643,15.238203,15.21758576,15.21114656,15.36686016,15.53384134,15.67896597,15.54210751,15.49777687,15.65135382,15.81719221,16.00219525,15.50396541
onx_codingsegmentsdurationaveragehd_overall,Benchmark,26692.17464,26652.36386,26569.58955,26527.42622,26471.90368,26565.42589,26582.42453,26613.66433,26601.5281,26601.5281,26601.5281,26601.5281,26590.09042
onx_avg_initialbufferinterval_overall,Benchmark,3907.323364,3942.84964,4029.40039,4087.64259,4137.873043,4123.892883,4134.862215,4122.228637,4086.184097,4039.716022,3999.308302,3991.676881,4050.246505
tutela_video_score_youtube,Benchmark,2.887467452,2.924327718,2.924327718,2.924327718,2.924327718,2.924327718,2.924327718,2.924327718,2.924327718,2.924327718,2.924327718,2.924327718,2.921256029
max_resource_block_utilization_rate_relactuserdl_num,Capacity,52.37092342,52.49434986,52.57122985,52.16300878,51.79215055,51.90212426,51.89243156,51.78430255,51.65827758,51.68009368,51.5839866,51.96790876,51.98839895
nr_prb_utilization_ul_rate_relactuserdl,Capacity,8.380037678,8.157958337,7.992686092,8.216373245,8.115818316,7.579373376,7.746429314,8.052816227,7.831163955,8.606946577,9.019389564,9.328605491,8.252299848
ul_resource_block_utilization_rate_relactuserdl_num,Capacity,19.30567746,19.38938094,19.4293114,19.35735234,19.39988041,19.64811552,19.82475794,19.88114101,20.3370953,22.88332139,24.48800519,25.35513774,20.77493139
nr_prb_utilization_dl_rate_relactuserdl,Capacity,7.396853225,6.967465812,6.726987638,6.718449452,6.467954488,6.233985606,6.360372891,6.695216875,6.728540116,6.898333119,7.415257327,7.647658426,6.854756248
